,연도,분기,버스정류장,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수
286,2020,3,23172,4739,38820,14734,22241,75882,15745
287,2020,4,23172,3948,36623,14034,21145,71906,14278
288,2020,1,23173,2270,76373,22403,21458,40555,13548
289,2020,2,23173,2228,72739,20100,20797,39831,12186
290,2020,3,23173,2483,76325,21229,22373,39561,12082
291,2020,4,23173,2300,71040,20452,21837,37502,10767
292,2020,1,23174,641,30116,6841,6902,11099,3835
293,2020,2,23174,824,28063,6958,6836,10589,3555
294,2020,3,23174,812,29421,7371,7370,10532,3538
295,2020,4,23174,797,27240,6752,6639,8861,3045
296,2020,1,23175,793,25964,8914,9385,13804,4426
297,2020,2,23175,1041,24969,8907,9441,13521,4490
298,2020,3,23175,1058,26360,9533,9812,14394,4528
299,2020,4,23175,990,24787,8451,9226,13617,4614
300,2020,1,23176,3322,58098,32610,38280,53109,16159
301,2020,2,23176,3394,56925,31341,39789,51771,15116
302,2020,3,23176,3361,57792,31944,39983,52346,14378
303,2020,4,23176,3407,52480,30662,37126,47745,13345
304,2020,1,23177,2516,28528,14113,16739,31150,8610
305,2020,2,23177,2421,26189,13655,16666,29519,7778
306,2020,3,23177,2461,28314,14430,17601,31044,7810
307,2020,4,23177,2462,26006,13690,16993,28725,6824
308,2020,1,23178,2708,136928,35586,30477,41054,15027
309,2020,2,23178,2830,128265,34609,29544,37841,14401
310,2020,3,23178,2867,135518,35315,29748,37721,13809
311,2020,4,23178,2567,129280,33001,27421,33992,12269
312,2020,1,23180,2375,39663,14992,17154,31080,11184
313,2020,2,23180,2694,39880,16227,17524,31068,10522
314,2020,3,23180,2358,39934,15684,17398,30966,10782
315,2020,4,23180,2397,37975,14988,17147,29132,10441
316,2020,1,23181,6481,54819,33739,42238,66468,30771
317,2020,2,23181,7215,54927,35031,43655,66094,30768
318,2020,3,23181,6655,57869,37162,45101,69057,33334
319,2020,4,23181,5620,56185,34034,43583,64253,31262
320,2020,1,23182,2864,43354,16368,21482,43689,11112
321,2020,2,23182,3269,43224,16423,22669,44066,10918
322,2020,3,23182,3251,43929,16496,23466,43926,10502
323,2020,4,23182,2884,41955,16334,22336,42298,9910
324,2020,1,23183,1434,14904,7425,11256,24514,5880
325,2020,2,23183,1320,14749,7587,10865,23897,5667
326,2020,3,23183,1254,15613,8075,11283,25099,6182
327,2020,4,23183,1323,14185,7657,10528,22891,5371
328,2020,1,23184,454,5519,3014,4136,8774,1852
329,2020,2,23184,533,5491,2793,4471,8178,1970
330,2020,3,23184,517,5437,3081,4689,8903,1984
331,2020,4,23184,538,4094,2966,4069,7284,1801
332,2020,1,23185,1844,22002,11344,15055,24863,12323
333,2020,2,23185,1812,21411,11318,14927,24468,11988
334,2020,3,23185,1735,22805,11569,14754,23566,12505
335,2020,4,23185,1458,21957,11750,14722,22621,11959
336,2020,1,23186,2577,112668,23593,29775,75433,27900
337,2020,2,23186,2281,103555,21070,28309,70903,26317
338,2020,3,23186,2330,105464,22471,29197,71754,25974
339,2020,4,23186,1991,98301,21984,28685,68021,24061
340,2020,1,23187,1379,87861,19248,18299,27660,8946
341,2020,2,23187,1550,85123,17283,18036,25152,8590
342,2020,3,23187,1413,88780,17669,18844,25543,8091
343,2020,4,23187,1088,85680,16587,17260,23203,6617
344,2020,1,23188,1908,14639,8467,12118,37792,13201
345,2020,2,23188,1846,15538,7661,10999,33492,10608
346,2020,3,23188,1642,17967,7706,11202,33572,9306
347,2020,4,23188,1354,17040,7246,10314,31742,7975
348,2020,1,23189,14341,149351,54644,57141,110892,33173
349,2020,2,23189,13467,142156,48554,54652,109255,31876
350,2020,3,23189,13457,144842,50889,56567,110713,33199
351,2020,4,23189,12717,139076,48676,54784,106852,30539
352,2020,1,23190,1386,7457,4785,5543,7763,3228
353,2020,2,23190,1156,6811,4432,4850,7301,3058
354,2020,3,23190,1079,7176,4331,4870,7390,3273
355,2020,4,23190,1058,6164,4012,4554,6594,2672
356,2020,1,23191,520,4788,5465,6644,7791,3302
357,2020,2,23191,525,4192,4771,5745,7331,2588
358,2020,3,23191,591,4502,5199,5757,7659,3104
359,2020,4,23191,422,3889,4568,5067,6318,2338
360,2020,1,23192,10218,121155,49360,65391,154238,56579
361,2020,2,23192,8667,120940,45659,59740,142372,48173
362,2020,3,23192,9297,125514,47704,61767,144645,47404
363,2020,4,23192,7716,121898,45996,59023,136566,42819
364,2020,1,23193,995,27850,5325,5730,10065,3740
365,2020,2,23193,910,25750,4875,5204,9476,3158
366,2020,3,23193,728,25051,5106,5460,9989,3298
367,2020,4,23193,649,25980,4836,5438,9074,2670
368,2020,1,23194,374,14199,2014,2719,7749,2343
369,2020,2,23194,430,13219,2047,2754,7312,2069
370,2020,3,23194,377,13306,1849,2869,7069,2005
371,2020,4,23194,439,11786,1744,2535,6638,1866
372,2020,1,23195,69,2304,865,1822,4112,707
373,2020,2,23195,90,2352,865,1561,3947,702
374,2020,3,23195,84,2652,831,1694,4143,545
375,2020,4,23195,92,2494,787,1593,3521,440
376,2020,1,23196,15792,94275,30145,30221,48160,18131
377,2020,2,23196,15809,89736,27442,28130,45638,16460
378,2020,3,23196,15921,90509,29013,28694,45624,14845
379,2020,4,23196,15368,82882,27299,27024,41919,13475
380,2020,1,23197,16657,132964,53614,67259,138219,52795
381,2020,2,23197,15923,130299,50139,63514,130307,47490
382,2020,3,23197,16641,133266,52632,66568,132378,48664
383,2020,4,23197,14878,128237,51388,64658,122879,44337
384,2020,1,23198,10703,76756,37402,51318,83761,27485
385,2020,2,23198,10660,71979,32909,46517,78838,25015
386,2020,3,23198,11292,73408,36192,48481,79267,26835
387,2020,4,23198,9930,69730,33449,45935,72353,21457
388,2020,1,23199,4543,45735,21134,32314,63821,20816
389,2020,2,23199,4328,43283,19371,30200,60445,17678
390,2020,3,23199,4250,45706,20960,31921,62428,19971
391,2020,4,23199,3822,39756,20127,30511,56784,15999
392,2020,1,23200,2220,28334,13455,15154,20851,10319
393,2020,2,23200,2167,26234,12111,15331,20080,10317
394,2020,3,23200,2188,27067,12657,15822,20102,10659
395,2020,4,23200,1732,24266,12386,15308,18195,9213
396,2020,1,23201,26374,110736,38294,44657,66735,26776
397,2020,2,23201,27934,107672,39187,43856,63727,24775
398,2020,3,23201,27441,110362,39274,44042,64008,25751
399,2020,4,23201,23868,101718,37755,41865,56963,21377
400,2020,1,23202,2307,35967,15707,21970,69095,17252
401,2020,2,23202,2307,35210,15390,22118,67037,16311
402,2020,3,23202,2314,38764,16882,23266,67955,15153
403,2020,4,23202,2117,35537,16814,22086,63399,14010
404,2020,1,23203,1026,18544,9768,12638,29075,13234
405,2020,2,23203,1027,17832,9767,12513,27509,12640
406,2020,3,23203,981,19099,10425,13326,29002,12663
407,2020,4,23203,974,16965,9787,13026,26280,11819
408,2020,1,23204,460,10469,6876,8949,21535,7026
409,2020,2,23204,500,10860,6099,8543,20283,6842
410,2020,3,23204,482,12349,6677,9839,22218,7044
411,2020,4,23204,463,11465,6631,9576,20336,6652
412,2020,1,23205,2016,70397,22663,26352,37063,16735
413,2020,2,23205,2390,65330,20966,25739,34617,15713
414,2020,3,23205,2390,67321,22293,27199,35840,15405
415,2020,4,23205,1965,64266,20831,25468,33234,13462
416,2020,1,23206,1444,46568,25964,33179,42948,16010
417,2020,2,23206,1478,46464,23891,33516,41203,15129
418,2020,3,23206,1570,47681,24798,34068,42225,14599
419,2020,4,23206,1468,44414,23903,32899,39363,13137
420,2020,1,23207,618,27329,5693,4928,6941,2511
421,2020,2,23207,517,27528,4808,5080,6911,2497
422,2020,3,23207,596,28307,5153,5198,6634,2543
423,2020,4,23207,475,27779,5164,5595,6496,2063
424,2020,1,23208,611,12198,6158,6932,8125,2952
425,2020,2,23208,597,12088,5271,8367,8666,2763
426,2020,3,23208,707,13210,5914,9955,8768,2684
427,2020,4,23208,608,12014,5882,9399,7776,2463
428,2020,1,23209,1219,34349,8966,9552,13805,7045
429,2020,2,23209,1132,32417,8362,9248,13264,6854
430,2020,3,23209,1067,34845,8683,9729,13472,6649
431,2020,4,23209,888,32015,8128,8986,11807,5502
432,2020,1,23210,1409,23622,11390,12467,21575,7493
433,2020,2,23210,1274,23245,11085,12351,19660,7003
434,2020,3,23210,1215,24007,11450,13791,19977,6875
435,2020,4,23210,1094,22318,10678,11731,17324,5888
436,2020,1,23211,680,19867,9238,10851,15629,7639
437,2020,2,23211,814,19102,8870,10712,14827,7137
438,2020,3,23211,808,20200,9142,10921,15345,7576
439,2020,4,23211,617,17217,8266,9954,13732,6492
440,2020,1,23212,864,9741,5436,6565,10523,2822
441,2020,2,23212,695,9113,5637,6497,10356,3017
442,2020,3,23212,585,9601,6019,6524,10781,3101
443,2020,4,23212,661,9250,5283,5880,9538,2553
444,2020,1,23213,938,18757,8224,9140,11926,4842
445,2020,2,23213,969,18856,7398,8748,10437,4629
446,2020,3,23213,937,19105,7807,8655,10566,4957
447,2020,4,23213,706,16950,6966,7794,9777,4373
448,2020,1,23214,4095,64604,30675,34455,51610,24715
449,2020,2,23214,4368,64710,30685,34700,48590,22842
450,2020,3,23214,4032,66021,30847,33146,49108,21951
451,2020,4,23214,3286,61077,29097,31788,44645,20035
452,2020,1,23215,1518,50045,18105,19007,29802,11538
453,2020,2,23215,1570,49545,18084,19508,28929,11564
454,2020,3,23215,1365,50059,17957,18745,29722,11849
455,2020,4,23215,1199,47052,17567,18389,27331,10610
456,2020,1,23216,1188,19853,9754,10971,17229,6262
457,2020,2,23216,1170,20010,10051,11097,16300,6317
458,2020,3,23216,1127,20601,10702,11601,17247,6525
459,2020,4,23216,1129,19164,10203,11202,16004,5926
460,2020,1,23217,21091,71579,30818,38130,101846,27655
461,2020,2,23217,20919,68816,29731,35588,93102,24511
462,2020,3,23217,20395,72924,30464,36911,98647,24134
463,2020,4,23217,18491,66083,29020,33082,88288,21082
464,2020,1,23218,17541,56805,22531,27204,55568,19074
465,2020,2,23218,17229,53699,22906,27522,52963,18456
466,2020,3,23218,16153,53733,23386,27912,55085,18633
467,2020,4,23218,14772,48697,22226,25770,50461,16613
468,2020,1,23219,2383,10960,8621,8978,12573,6225
469,2020,2,23219,2451,11199,7226,8549,11491,6534
470,2020,3,23219,2340,12229,8100,9207,12211,6428
471,2020,4,23219,1570,11296,7383,8868,10632,5509
472,2020,1,23220,974,21065,13771,13718,19446,7492
473,2020,2,23220,1262,22078,13299,15679,18900,7540
474,2020,3,23220,1248,25538,15858,18387,19767,7656
475,2020,4,23220,1286,24290,13262,19037,17998,6536
476,2020,1,23221,934,16616,11314,11219,13057,4964
477,2020,2,23221,1059,15942,9828,11369,13454,5121
478,2020,3,23221,1114,17361,11111,12559,14082,5218
479,2020,4,23221,997,15921,9755,12549,12210,4615
480,2020,1,23222,3698,48442,43475,46718,65266,28397
481,2020,2,23222,3638,42653,35141,45418,64414,26887
482,2020,3,23222,3422,48586,41581,50627,67216,27361
483,2020,4,23222,2833,43841,35565,46568,58793,22904
484,2020,1,23223,4382,45337,50216,52196,78382,44338
485,2020,2,23223,3755,37307,37564,47841,72199,41752
486,2020,3,23223,3672,41758,43195,54918,75588,40026
487,2020,4,23223,2745,37961,39206,50955,68441,35485
488,2020,1,23224,5340,32103,37446,43934,75113,49242
489,2020,2,23224,4877,30461,29037,39882,66706,46643
490,2020,3,23224,4972,33941,34829,45776,69081,45045
