연도,분기,상권_코드,점포수,시간대_00~06_매출_금액_평균,시간대_06~11_매출_금액_평균,시간대_11~14_매출_금액_평균,시간대_14~17_매출_금액_평균,시간대_17~21_매출_금액_평균,시간대_21~24_매출_금액_평균,총 상주인구 수,총 가구 수,아파트 가구 수,비아파트 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,상권_중앙위경도_값,00~06시_버스,06~11시_버스,11~14시_버스,14~17시_버스,17~21시_버스,21~24시_버스,00~06시_지하철,06~11시_지하철,11~14시_지하철,14~17시_지하철,17~21시_지하철,21~24시_지하철,포함된_버정_수,포함된_역_수
2021,2,2110992,18,79702.51098901099,90865.16483516483,85518.5225885226,96127.27594627596,197417.862026862,177738.82661782662,7894.0,3681.0,0.0,3681.0,2179.0,205.0,7.0,703.0,587.0,321.0,165.0,73.0,102.0,1832279,499838,356538,194814,207116,330411,243563,251962,251044,252671,251846,254263,288767,281727,204993,444495,11680,"37.4999043020278, 127.05646557351078",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110994,6,50402.18681318681,85632.54395604396,72541.60256410256,80197.67399267398,108036.10805860806,98306.07692307692,1777.0,797.0,0.0,797.0,494.0,57.0,2.0,93.0,116.0,60.0,31.0,3.0,57.0,558554,177116,124040,63472,58625,68905,66396,82634,82355,81158,82663,80636,76343,72767,205441,442634,11680,"37.48313403328187, 127.0615182258128",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110995,3,48107.48717948718,82976.48351648351,112103.9084249084,106077.01465201464,244033.5897435897,211855.0695970696,2802.0,1097.0,0.0,1097.0,5085.0,70.0,1.0,44.0,42.0,28.0,41.0,16.0,721.0,541942,137591,124409,66703,63723,82668,66848,77366,77725,77406,77686,78078,76388,77292,205519,446418,11680,"37.51722762128031, 127.06242850425231",0.0,8832.0,3327.0,4202.0,6745.0,2353.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2021,2,2110996,3,47206.50549450549,111986.60073260072,98512.2893772894,104673.94871794872,158681.38095238095,97159.15750915752,1430.0,682.0,0.0,682.0,1959.0,65.0,0.0,6.0,18.0,40.0,80.0,45.0,336.0,744456,168470,145042,92015,99017,145816,94094,106543,106805,105426,107185,107798,108579,102119,205642,444704,11680,"37.50178366723011, 127.06380667872182",0.0,23523.0,7503.0,9607.0,17361.0,7688.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2021,2,2110997,18,151182.7893772894,238458.7527472528,172190.46214896216,174143.7967032967,392598.0463980464,368466.0982905983,7187.0,3441.0,0.0,3441.0,1724.0,133.0,0.0,139.0,432.0,164.0,37.0,28.0,36.0,2611490,829716,554433,269435,250515,353266,354126,375916,378841,377172,377836,374768,363619,363341,207477,443642,11680,"37.49220195577839, 127.08454831021591",9174.0,147481.0,74789.0,100698.0,131046.0,48115.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0
2021,2,2110999,6,175769.16117216117,202073.010989011,190256.51465201465,198753.413919414,398753.1263736264,388398.02014652017,3177.0,2401.0,0.0,2401.0,268.0,2.0,0.0,1.0,5.0,10.0,0.0,1.0,0.0,82005,18889,17915,10728,11097,13696,9680,11462,11495,11610,11532,11464,12286,12157,209174,441371,11680,"37.471724786298864, 127.10370931049309",2857.0,67869.0,31150.0,45899.0,77103.0,34317.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
2021,2,2111000,3,0.0,3879.454212454212,16137.989010989011,22121.13553113553,29955.89377289377,2766.25641025641,444.0,201.0,0.0,201.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55161,3305,10260,10518,12343,14130,4606,7975,8014,8186,7955,7981,8030,7023,209446,440477,11680,"37.46366702265568, 127.10677272709853",464.0,3413.0,1807.0,3592.0,3473.0,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2021,2,2111002,3,0.0,120022.70695970696,160641.61538461538,146542.7435897436,65261.805860805856,0.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173,0,225,363,447,138,0,141,198,135,159,183,207,150,210597,441133,11680,"37.469565171958735, 127.11979244528801",509.0,5899.0,2652.0,2868.0,3484.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2021,2,2120185,53,70606.94070080863,199882.1370516276,144288.32884097035,130274.1797636326,262872.5027990877,195870.331743728,3768.0,2428.0,0.0,2428.0,12764.0,52.0,4.0,281.0,370.0,159.0,58.0,14.0,76.0,2692305,475958,548816,429910,437638,517134,282848,415377,420334,402184,419784,418495,328242,287889,201955,445691,11680,"37.510691750707316, 127.02211217405002",6983.0,89997.0,45007.0,53824.0,100663.0,41878.0,11079.0,1098445.0,342433.0,418129.0,1007631.0,340406.0,3,1
2021,2,2120186,24,52517.43131868132,162901.70924908423,172776.53617216117,182257.59203296705,298458.8241758242,232040.7692307692,3152.0,1777.0,0.0,1777.0,6518.0,62.0,0.0,196.0,151.0,94.0,54.0,43.0,88.0,2257736,308930,387577,385392,430053,528699,217084,329758,340408,334042,340003,347110,305018,261397,201997,446820,11680,"37.52086399195278, 127.02259028422475",10411.0,126532.0,96097.0,132382.0,216352.0,91489.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
