연도,분기,상권_코드,점포수,시간대_00~06_매출_금액_평균,시간대_06~11_매출_금액_평균,시간대_11~14_매출_금액_평균,시간대_14~17_매출_금액_평균,시간대_17~21_매출_금액_평균,시간대_21~24_매출_금액_평균,총 상주인구 수,총 가구 수,아파트 가구 수,비아파트 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,상권_중앙위경도_값,00~06시_버스,06~11시_버스,11~14시_버스,14~17시_버스,17~21시_버스,21~24시_버스,00~06시_지하철,06~11시_지하철,11~14시_지하철,14~17시_지하철,17~21시_지하철,21~24시_지하철,포함된_버정_수,포함된_역_수
2022,1,2120215,32,96087.6875,428649.02222222224,360658.4059027778,309019.3618055555,435052.6430555555,293540.6461805556,3513.0,2227.0,0.0,2227.0,61656.0,29.0,0.0,132.0,602.0,98.0,158.0,114.0,288.0,2958213,453698,633000,549597,546692,519003,256222,471871,462415,465707,496911,480904,301905,278500,204984,445257,11680,"37.506770010092765, 127.05636895451428",25651.0,308809.0,85920.0,101764.0,223022.0,62797.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0
2022,1,2120219,13,132657.51538461537,421210.83504273504,503134.8128205128,472981.54017094016,938960.1025641026,659135.3555555556,1039.0,418.0,0.0,418.0,17161.0,14.0,0.0,2.0,17.0,21.0,20.0,5.0,119.0,1098958,166098,190066,161753,190527,266048,124466,147739,146622,149629,153362,155576,179577,166454,205344,444397,11680,"37.49901935242015, 127.06043430040828",10780.0,170768.0,170925.0,191981.0,294805.0,194107.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
2022,1,2120206,11,158777.31515151515,437930.27777777775,442742.7323232323,397148.25151515147,625027.0191919191,424630.1585858586,4039.0,2082.0,0.0,2082.0,5280.0,54.0,5.0,191.0,181.0,83.0,59.0,17.0,334.0,1111630,199548,243546,187184,184478,187863,109012,169304,168005,169222,175522,171509,133139,124932,203903,444198,11680,"37.49723356283846, 127.04413724979848",4493.0,124040.0,49501.0,56578.0,92563.0,31560.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
2022,1,2120213,13,156482.68803418803,262434.4435897436,292428.57435897435,270610.3333333333,544009.0735042735,449154.6683760684,4094.0,2304.0,0.0,2304.0,8472.0,89.0,7.0,401.0,251.0,118.0,44.0,34.0,222.0,1659343,312389,348204,268175,264366,294025,172185,249849,246827,250811,262284,257967,200929,190678,204754,445856,11680,"37.51216823841516, 127.05377153085408",2081.0,63165.0,27633.0,32572.0,54715.0,25732.0,3080.0,313818.0,104045.0,126824.0,301387.0,70295.0,3,1
2022,1,2120218,10,400.69444444444446,220803.27777777772,214974.60111111111,196141.5433333333,255509.6677777778,53122.35111111111,28.0,17.0,0.0,17.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42425,2833,7854,9769,10354,9247,2368,6047,6118,6304,6842,6818,5499,4800,205224,445843,11680,"37.5120485682594, 127.0590875108244",9230.0,86793.0,52003.0,68969.0,99246.0,30638.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
2022,1,2120211,6,104093.3314814815,202557.7703703704,239170.3092592593,204412.87962962964,400672.55,331929.9851851852,1638.0,726.0,0.0,726.0,984.0,23.0,0.0,58.0,51.0,24.0,61.0,42.0,102.0,1024497,151035,190772,166990,179559,229687,106455,144532,145031,148259,151256,151202,149328,134887,204652,444566,11680,"37.50054579641033, 127.05260967286942",2338.0,48259.0,29119.0,33425.0,46705.0,24600.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
2022,1,1001496,12,41170.58981481482,355590.0240740741,319332.5555555556,317756.28425925924,478494.2481481482,216347.40925925924,29.0,18.0,0.0,18.0,15904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92815,6267,17913,21171,22211,19976,5277,13648,13721,14053,15264,15081,11312,9736,205310,445727,11680,"37.511002913176945, 127.06005939988393",33356.0,216839.0,111361.0,142672.0,213131.0,69064.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
2022,1,2110992,8,164578.5013888889,197131.2083333333,239362.65694444443,230823.86666666667,491695.34305555554,407630.2791666667,7894.0,3681.0,0.0,3681.0,2179.0,206.0,3.0,595.0,582.0,346.0,223.0,84.0,137.0,2028880,515920,395595,237407,249265,371133,259560,276903,277635,283048,284199,286910,313602,306579,204993,444495,11680,"37.4999043020278, 127.05646557351078",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2022,2,2110952,3,171854.4065934066,149582.90476190476,130268.07692307692,128407.02564102564,261812.36263736265,189542.77655677652,868.0,571.0,0.0,571.0,117.0,27.0,6.0,103.0,102.0,26.0,14.0,3.0,4.0,185527,53570,40675,21125,20736,26879,22541,27315,27110,26650,26607,26337,25259,26248,202328,445762,11680,"37.5113305986889, 127.02633124285852",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2022,3,2110952,3,197738.8152173913,174597.96014492755,138207.11231884058,148334.6847826087,256960.2644927536,188368.64492753625,868.0,571.0,0.0,571.0,117.0,27.0,6.0,103.0,102.0,26.0,14.0,3.0,4.0,181806,52185,39901,20975,20381,26320,22046,26494,26692,26399,26436,25732,24571,25484,202328,445762,11680,"37.5113305986889, 127.02633124285852",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
